SCORE:     score     fa_atr     fa_rep     fa_sol    fa_intra_rep    fa_intra_sol_xover4    lk_ball_wtd    fa_elec    pro_close    hbond_sr_bb    hbond_lr_bb    hbond_bb_sc    hbond_sc    dslf_fa13      omega     fa_dun    p_aa_pp    yhh_planarity        ref    rama_prepro    Filter_Stage2_aBefore    Filter_Stage2_bQuarter    Filter_Stage2_cHalf    Filter_Stage2_dEnd    co        rms     maxsub    clashes_total    clashes_bb       time description
SCORE:  -323.040   -699.834     72.430    498.014           1.194                 25.833        -23.384   -219.664        0.306        -83.773         -1.097         -7.379     -16.550        0.000     11.794    147.929     -9.651            0.234    -11.210         -8.232                    0.000                     0.000                  0.000                 0.000 11.203      2.737    116.000            0.000         0.000    180.000  S_00000001
SCORE:  -339.314   -724.156     75.245    514.145           1.191                 25.656        -20.507   -235.741        0.745        -85.083         -0.839         -8.602     -21.640        0.000      9.849    158.466     -7.531            0.113    -11.210         -9.416                    0.000                     0.000                  0.000                 0.000 12.139      1.175    117.000            0.000         0.000    197.000  S_00000002
SCORE:  -346.350   -729.929     74.885    503.754           1.167                 24.288        -24.701   -211.414        0.496        -85.368         -1.473         -5.961     -16.946        0.000      9.153    145.315     -9.476            0.679    -11.210         -9.610                    0.000                     0.000                  0.000                 0.000 12.087      1.100    117.000            0.000         0.000    213.000  S_00000003
SCORE:  -335.571   -707.583     73.262    508.861           1.188                 23.993        -23.031   -228.145        0.239        -86.274         -1.123         -6.104     -21.570        0.000      8.521    154.473    -11.188            0.046    -11.210         -9.925                    0.000                     0.000                  0.000                 0.000 11.300      1.762    117.000            0.000         0.000    263.000  S_00000004
SCORE:  -336.973   -721.434     77.158    515.305           1.215                 25.842        -20.917   -235.316        0.633        -84.132         -1.314         -8.933     -20.507        0.000     10.347    157.182     -9.962            0.158    -11.210        -11.088                    0.000                     0.000                  0.000                 0.000 11.777      1.196    117.000            0.000         0.000    245.000  S_00000005
SCORE:  -330.662   -704.125     73.260    507.886           1.205                 26.397        -22.419   -221.813        0.239        -85.594         -1.171         -8.090     -20.352        0.000      7.710    150.279    -11.166            0.175    -11.210        -11.874                    0.000                     0.000                  0.000                 0.000 11.681      3.051    116.000            0.000         0.000    226.000  S_00000006
SCORE:  -336.871   -718.117     79.454    510.241           1.237                 26.345        -20.186   -229.967        0.337        -88.056         -1.333         -7.933     -18.155        0.000      8.897    154.591    -10.913            0.485    -11.210        -12.589                    0.000                     0.000                  0.000                 0.000 11.894      1.195    117.000            0.000         0.000    238.000  S_00000007
SCORE:  -345.311   -729.773     74.094    518.889           1.199                 25.724        -23.368   -229.019        0.362        -86.227         -1.444        -10.806     -15.337        0.000      8.803    154.962    -11.631            0.207    -11.210        -10.738                    0.000                     0.000                  0.000                 0.000 11.743      1.560    117.000            0.000         0.000    205.000  S_00000008
SCORE:  -344.999   -720.394     76.231    510.269           1.194                 26.906        -22.582   -240.160        0.166        -84.955         -1.390        -11.704     -19.635        0.000      8.517    161.556     -9.576            0.843    -11.210         -9.073                    0.000                     0.000                  0.000                 0.000 12.366      1.367    117.000            0.000         0.000    201.000  S_00000009
SCORE:  -349.876   -720.461     75.465    513.495           1.138                 24.329        -22.226   -232.835        0.206        -84.937         -1.390         -8.807     -22.020        0.000     10.323    147.767    -11.004            0.220    -11.210         -7.930                    0.000                     0.000                  0.000                 0.000 12.367      1.453    117.000            0.000         0.000    198.000  S_00000010
SCORE:  -343.418   -720.592     77.353    507.738           1.148                 24.163        -21.663   -223.773        0.150        -85.385         -1.380        -12.196     -15.223        0.000     10.014    148.583    -10.862            0.176    -11.210        -10.457                    0.000                     0.000                  0.000                 0.000 12.224      1.897    117.000            0.000         0.000    188.000  S_00000011
SCORE:  -326.508   -688.818     71.820    504.059           1.130                 25.786        -18.902   -231.482        0.599        -86.209         -1.493         -8.321     -20.084        0.000      8.941    149.366    -10.515            0.478    -11.210        -11.653                    0.000                     0.000                  0.000                 0.000 11.602      4.483    102.000            0.000         0.000    190.000  S_00000012
SCORE:  -324.135   -685.013     69.445    493.653           1.203                 26.220        -22.881   -217.268        0.185        -85.344         -1.086         -6.797     -20.342        0.000      8.209    149.202    -11.539            0.058    -11.210        -10.829                    0.000                     0.000                  0.000                 0.000 10.791      2.043    117.000            0.000         0.000    238.000  S_00000013
SCORE:  -340.598   -717.022     75.175    496.234           1.142                 23.408        -21.311   -213.780        0.243        -87.116         -1.268         -6.321     -21.267        0.000      9.661    154.061    -11.031            0.346    -11.210        -10.542                    0.000                     0.000                  0.000                 0.000 11.876      1.060    117.000            0.000         0.000    210.000  S_00000001
SCORE:  -352.813   -731.191     79.402    512.523           1.135                 25.343        -21.510   -235.620        0.682        -84.576         -1.096         -8.719     -21.645        0.000      7.810    154.770     -8.222            0.122    -11.210        -10.810                    0.000                     0.000                  0.000                 0.000 12.119      0.875    117.000            0.000         0.000    191.000  S_00000002
SCORE:  -319.325   -696.855     74.089    500.697           1.160                 24.403        -26.232   -218.971        0.135        -85.452         -1.143         -6.942     -15.428        0.000      8.440    156.476     -9.866            0.284    -11.210        -12.911                    0.000                     0.000                  0.000                 0.000 11.538      1.389    117.000            0.000         0.000    211.000  S_00000001
SCORE:  -325.135   -695.811     77.563    497.763           1.224                 25.665        -18.905   -230.812        0.227        -85.654         -0.939         -8.775     -24.342        0.000      8.654    158.813    -10.320            0.207    -11.210         -8.485                    0.000                     0.000                  0.000                 0.000 11.891      4.278    100.000            0.000         0.000    215.000  S_00000001
SCORE:  -320.346   -720.804     80.693    513.943           1.210                 25.086        -19.867   -224.951        0.201        -86.318         -1.691         -9.323     -22.067        0.000     11.804    160.118     -8.579            0.193    -11.210         -8.785                    0.000                     0.000                  0.000                 0.000 12.095      1.400    117.000            0.000         0.000    223.000  S_00000001
SCORE:  -326.762   -708.625     74.082    509.346           1.149                 25.839        -25.408   -220.859        0.175        -89.201         -1.244         -7.463     -11.953        0.000     11.026    151.830    -11.460            0.213    -11.210        -12.999                    0.000                     0.000                  0.000                 0.000 11.317      2.029    117.000            0.000         0.000    223.000  S_00000001
SCORE:  -316.696   -696.104     77.078    506.594           1.138                 26.101        -19.860   -226.523        0.596        -84.000         -0.618         -8.281     -20.938        0.000      8.197    152.181    -11.563            0.109    -11.210         -9.594                    0.000                     0.000                  0.000                 0.000 12.064      2.899    115.000            0.000         0.000    224.000  S_00000001
SCORE:  -330.407   -707.354     70.778    505.730           1.372                 24.549        -23.220   -218.373        0.310        -87.753         -1.298         -5.244     -19.542        0.000      8.419    152.437     -9.976            0.262    -11.210        -10.293                    0.000                     0.000                  0.000                 0.000 11.578      2.849    108.000            0.000         0.000    229.000  S_00000001
SCORE:  -342.782   -719.591     75.891    503.537           1.166                 25.567        -24.931   -224.905        0.319        -85.222         -1.413         -8.532     -15.777        0.000      8.478    154.090     -9.786            0.083    -11.210        -10.547                    0.000                     0.000                  0.000                 0.000 12.035      1.446    117.000            0.000         0.000    251.000  S_00000001
SCORE:  -315.662   -693.921     71.896    504.198           1.193                 25.055        -22.811   -217.874        0.542        -82.684         -0.346         -7.537     -15.485        0.000      6.249    148.094    -12.459            0.245    -11.210         -8.807                    0.000                     0.000                  0.000                 0.000 12.092      4.076    104.000            0.000         0.000    278.000  S_00000001
SCORE:  -338.497   -717.953     75.446    506.338           1.169                 25.972        -22.915   -228.467        0.196        -86.618         -1.764         -9.544     -16.081        0.000     12.377    154.418    -10.024            0.093    -11.210         -9.931                    0.000                     0.000                  0.000                 0.000 12.077      1.234    117.000            0.000         0.000    278.000  S_00000001
SCORE:  -312.554   -689.743     71.218    499.070           1.198                 24.878        -22.688   -216.646        0.221        -84.578         -0.375         -7.163     -13.918        0.000      9.681    149.320     -9.770            0.158    -11.210        -12.207                    0.000                     0.000                  0.000                 0.000 12.014      3.606    115.000            0.000         0.000    283.000  S_00000001
SCORE:  -335.887   -717.291     75.317    514.791           1.177                 25.779        -21.459   -229.677        0.327        -87.446         -0.880         -8.705     -20.171        0.000     11.830    149.132     -8.932            0.382    -11.210         -8.851                    0.000                     0.000                  0.000                 0.000 11.857      1.056    117.000            0.000         0.000    288.000  S_00000001
SCORE:  -346.886   -732.227     75.621    509.333           1.213                 24.293        -23.275   -220.549        0.206        -85.262         -1.466         -8.897     -17.187        0.000      9.488    154.489    -10.541            0.236    -11.210        -11.152                    0.000                     0.000                  0.000                 0.000 12.259      0.814    117.000            0.000         0.000    205.000  S_00000002
SCORE:  -338.055   -708.273     74.368    512.734           1.132                 24.704        -23.004   -227.897        0.067        -87.077         -1.317         -8.253     -18.914        0.000      8.770    147.994    -12.337            0.191    -11.210         -9.734                    0.000                     0.000                  0.000                 0.000 11.109      2.055    117.000            0.000         0.000    196.000  S_00000003
SCORE:  -343.448   -703.317     74.162    493.048           1.148                 25.081        -22.369   -217.725        0.186        -84.819         -1.310         -7.255     -23.072        0.000      8.842    149.107    -11.706            0.253    -11.210        -12.492                    0.000                     0.000                  0.000                 0.000 11.686      1.863    117.000            0.000         0.000    255.000  S_00000001
SCORE:  -331.513   -704.682     74.645    498.181           1.121                 25.354        -22.704   -220.900        0.370        -84.199         -1.593         -7.334     -13.014        0.000      9.671    144.226    -10.590            0.187    -11.210         -9.042                    0.000                     0.000                  0.000                 0.000 12.171      1.702    117.000            0.000         0.000    213.000  S_00000002
SCORE:  -348.885   -711.588     76.733    501.251           1.163                 24.678        -21.161   -233.192        0.083        -85.870         -1.039         -7.563     -19.913        0.000      8.301    154.444    -11.993            0.131    -11.210        -12.141                    0.000                     0.000                  0.000                 0.000 11.120      2.080    117.000            0.000         0.000    221.000  S_00000003
SCORE:  -341.669   -720.114     72.930    515.128           1.175                 24.223        -23.497   -225.145        0.325        -86.085         -1.018         -9.341     -17.417        0.000      9.343    150.342    -11.319            0.187    -11.210        -10.176                    0.000                     0.000                  0.000                 0.000 12.199      1.628    117.000            0.000         0.000    231.000  S_00000001
SCORE:  -339.607   -720.660     76.508    513.828           1.185                 26.397        -21.336   -242.048        0.470        -84.106         -1.299         -9.558     -19.008        0.000     10.158    154.981     -7.282            0.203    -11.210         -6.831                    0.000                     0.000                  0.000                 0.000 11.928      1.066    117.000            0.000         0.000    308.000  S_00000004
SCORE:  -341.066   -712.639     74.992    499.612           1.253                 25.999        -21.354   -230.035        0.175        -87.531         -1.109         -6.775     -18.916        0.000     10.095    156.241     -8.858            0.164    -11.210        -11.169                    0.000                     0.000                  0.000                 0.000 11.576      1.633    117.000            0.000         0.000    210.000  S_00000005
SCORE:  -335.518   -716.196     75.317    518.364           1.184                 27.076        -21.920   -233.831        0.140        -87.478         -1.405         -7.792     -19.326        0.000     11.492    153.183    -12.512            0.181    -11.210        -10.787                    0.000                     0.000                  0.000                 0.000 11.875      1.048    117.000            0.000         0.000    225.000  S_00000006
SCORE:  -319.216   -697.025     75.089    510.689           1.213                 26.266        -17.832   -236.048        0.154        -81.945         -2.364         -8.873     -22.527        0.000      8.597    158.001     -8.535            0.416    -11.210        -13.281                    0.000                     0.000                  0.000                 0.000 11.329      2.082    117.000            0.000         0.000    229.000  S_00000003
SCORE:  -320.353   -670.752     65.066    507.066           1.159                 24.951        -21.447   -229.750        0.045        -88.743         -1.750         -4.631     -24.577        0.000      7.217    152.479    -13.287            0.231    -11.210        -12.420                    0.000                     0.000                  0.000                 0.000 11.414      9.269     87.000            0.000         0.000    231.000  S_00000008
SCORE:  -303.105   -701.506     71.957    511.665           1.216                 27.370        -21.640   -219.715        0.301        -80.465         -2.299         -9.425     -17.259        0.000      9.539    157.005     -9.665            0.354    -11.210         -9.330                    0.000                     0.000                  0.000                 0.000 11.747      3.356    114.000            0.000         0.000    232.000  S_00000002
SCORE:  -329.616   -699.587     72.469    510.882           1.135                 24.746        -24.153   -226.207        0.226        -86.795         -1.065         -6.722     -17.292        0.000      9.909    144.112    -11.001            0.316    -11.210         -9.379                    0.000                     0.000                  0.000                 0.000 11.256      1.757    117.000            0.000         0.000    246.000  S_00000001
